store_id,store_name,store_name_english,score,review_cnt,url,url_english,address,prefecture,address_english,prefecture_english,website
00000060,銀座 鮨青木 銀座本店,ginzasushiaoki,3.76,314,https://tabelog.com/tokyo/A1301/A130101/13000563/,https://tabelog.com/en/tokyo/A1301/A130101/13000563/,東京都中央区銀座6-7-4 銀座タカハシビル　２Ｆ,東京都,6-chome-7-4 Ginza Chuo City Tokyo-to,Tokyo,https://www.sushiaoki.jp/
00000061,鮨 尚充,Takamitsu,4.50,552,https://tabelog.com/tokyo/A1317/A131701/13128483/,https://tabelog.com/en/tokyo/A1317/A131701/13128483/,東京都目黒区青葉台1-28-2 EXA 1F,東京都,1-chome-28-2 Aobadai Meguro City Tokyo-to,Tokyo,
00000062,かがみ,Kagami,3.73,64,https://tabelog.com/tokyo/A1308/A130801/13239661/,https://tabelog.com/en/tokyo/A1308/A130801/13239661/,東京都港区赤坂2-16-6 TKビル B1F,東京都,2-chome-16-6 Akasaka Minato City Tokyo-to,Tokyo,
00000063,銀座 鮨 かねさか 本店,Ginza Sushi KANESAKA,3.84,486,https://tabelog.com/tokyo/A1301/A130103/13005003/,https://tabelog.com/en/tokyo/A1301/A130103/13005003/,東京都中央区銀座8-10-3 三鈴ビル　Ｂ１Ｆ,東京都,8-chome-10-3 Ginza Chuo City Tokyo-to,Tokyo,http://www.sushi-kanesaka.com/
00000064,鮨 佐がわ,Sushisagawa,3.86,73,https://tabelog.com/tokyo/A1307/A130701/13252500/,https://tabelog.com/en/tokyo/A1307/A130701/13252500/,東京都港区六本木4-2-35 アーバンスタイル六本木三河台 B1F,東京都,Roppongi Minato City Tokyo,Tokyo,
00000065,鮨竹,Sushi Take,3.78,229,https://tabelog.com/tokyo/A1301/A130101/13169506/,https://tabelog.com/en/tokyo/A1301/A130101/13169506/,東京都中央区銀座7-6-5 石井紀州屋ビル 4F,東京都,7-chome-6-5 Ginza Chuo City Tokyo-to,Tokyo,
00000066,鮨 由う,Yu,4.18,651,https://tabelog.com/tokyo/A1307/A130701/13201640/,https://tabelog.com/en/tokyo/A1307/A130701/13201640/,東京都港区六本木4-5-11 ランド六本木ビル B1,東京都,Roppongi Minato City Tokyo,Tokyo,
00000067,鮨 なんば 日比谷,Sushinamba,4.57,660,https://tabelog.com/tokyo/A1301/A130102/13219857/,https://tabelog.com/en/tokyo/A1301/A130102/13219857/,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷 3F,東京都,1-chome-1-2 Yurakucho Chiyoda City Tokyo-to,Tokyo,
00000068,鮨 海宇,Sushi miu,3.72,129,https://tabelog.com/tokyo/A1312/A131201/13233137/,https://tabelog.com/en/tokyo/A1312/A131201/13233137/,東京都江東区毛利1-2-8,東京都,1-chome-2-8 Mori Koto City Tokyo-to,Tokyo,
00000069,きざ㐂,Kizaki,3.91,330,https://tabelog.com/tokyo/A1308/A130801/13221218/,https://tabelog.com/en/tokyo/A1308/A130801/13221218/,東京都港区赤坂3-21-10 赤坂清明会館ビル5C,東京都,3-chome-21-10 Akasaka Minato City Tokyo-to,Tokyo,
00000070,鮨 むらやま,Sushimurayama,3.87,129,https://tabelog.com/tokyo/A1301/A130101/13236042/,https://tabelog.com/en/tokyo/A1301/A130101/13236042/,東京都中央区銀座7-6-2 銀座門ビル 5F,東京都,7-chome-6-2 Ginza Chuo City Tokyo-to,Tokyo,https://omakase.in/r/mr206305
00000071,恵比寿 えんどう,Ebisu endou,3.90,268,https://tabelog.com/tokyo/A1303/A130302/13231081/,https://tabelog.com/en/tokyo/A1303/A130302/13231081/,東京都渋谷区恵比寿南1-17-2 4F,東京都,1-chome-17-2 Ebisuminami Shibuya City Tokyo-to,Tokyo,https://yoyaku.at/ebisu-endo
00000072,新橋鶴八,shimbashitsuruhachi,3.78,234,https://tabelog.com/tokyo/A1301/A130103/13173432/,https://tabelog.com/en/tokyo/A1301/A130103/13173432/,東京都港区新橋2-16-1 ニュー新橋ビル 2F,東京都,2-chome-16-1 Shinbashi Minato City Tokyo-to,Tokyo,
00000073,鮨 一條,Sushiichijou,3.74,237,https://tabelog.com/tokyo/A1302/A130204/13191562/,https://tabelog.com/en/tokyo/A1302/A130204/13191562/,東京都中央区東日本橋3-1-3 奥田ビル 1F,東京都,3-chome-1-3 Higashinihonbashi Chuo City Tokyo-to,Tokyo,
00000074,すし処 みや古分店,Sushidokoromiyakowakemise,3.70,134,https://tabelog.com/tokyo/A1323/A132305/13046671/,https://tabelog.com/en/tokyo/A1323/A132305/13046671/,東京都北区赤羽西1-4-16,東京都,Akabanenishi Kita City Tokyo,Tokyo,http://www.sushi-miyako.jp/
00000075,鮨 とかみ,Tokami,4.02,551,https://tabelog.com/tokyo/A1301/A130103/13155234/,https://tabelog.com/en/tokyo/A1301/A130103/13155234/,東京都中央区銀座8-2-10 銀座誠和シルバービル B1F,東京都,8-chome-2-10 Ginza Chuo City Tokyo-to,Tokyo,
00000076,匠 鮨 おわな,Takumisushiowana,3.72,161,https://tabelog.com/tokyo/A1303/A130302/13211921/,https://tabelog.com/en/tokyo/A1303/A130302/13211921/,東京都渋谷区恵比寿南1-17-17 TIMEZONEテラスビル 4F,東京都,1-chome-17-17 Ebisuminami Shibuya City Tokyo-to,Tokyo,
00000077,すが弥,sugaya,4.16,408,https://tabelog.com/tokyo/A1314/A131401/13228776/,https://tabelog.com/en/tokyo/A1314/A131401/13228776/,東京都港区東麻布1-29-15 東麻布296ビル 1F,東京都,1-chome-29-15 Higashiazabu Minato City Tokyo-to,Tokyo,https://sugaya.asia
00000078,鮨きむら,Sushikimura,3.72,126,https://tabelog.com/tokyo/A1302/A130204/13218866/,https://tabelog.com/en/tokyo/A1302/A130204/13218866/,東京都中央区日本橋蛎殻町1-8-2 ヴェラハイツ日本橋蛎殻町 1F,東京都,1-chome-8-2 Nihonbashikakigaracho Chuo City Tokyo-to,Tokyo,https://www.sushi-kimura.com/
00000079,鮨処 やまと,Sushidokoro yamato,4.20,251,https://tabelog.com/tokyo/A1313/A131301/13262384/,https://tabelog.com/en/tokyo/A1313/A131301/13262384/,東京都中央区築地3-7-2 第五銀座ウェスト築地ビル 1F,東京都,3-chome-7-2 Tsukiji Chuo City Tokyo,Tokyo,
